	Fund Manager(s)	Company Name	Region	Sub-Region	Country	country code	country code_2	ICB Industry	ICB Supersector	ICB Sector	ICB Subsector	GICS Industry [column F]	IFC primary sector	IFC primary sector (#)	Asset Class	Investment Type	Investment Amount (US$m)	Investment Date	year	IFC	valuation
6000	Gobi Partners	Yododo.com	Asia	East Asia	China	CHN	CN	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital	4	13-Nov	2013	0.0	
6001	Canaan Partners, RRE Ventures	itBit	Asia	Southeast Asia	Singapore	SGP	SG	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	3	13-Nov	2013	0.0	
6002	Tata Capital Private Equity	Home First Finance	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Mortgage Finance	Thrifts & Mortgage Finance	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	8	13-Nov	2013	1.0	
6003	Macquarie Infrastructure and Real Assets (MIRA)	Yeong Yang Wind Power	Asia	East Asia	South Korea	KOR	KR	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Infrastructure & Real Assets	Growth	151	13-Nov	2013	0.0	
6004	Macquarie Infrastructure and Real Assets (MIRA)	Trichy Tollway	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Infrastructure & Real Assets	Buyout	43	13-Nov	2013	0.0	67.71770328
6005	Hopu Investment Management	Yashili	Asia	East Asia	China	CHN	CN	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	Growth	80	13-Nov	2013	0.0	386.4
6006	Asia Pacific Capital	Chuanboyi.com	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital	5	13-Nov	2013	0.0	
6007	WAMEX Private Equity	Bodesa	Latin America	Central America	Mexico	MEX	MX	Consumer Services	Retail	General Retailers	Broadline Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	17	13-Nov	2013	0.0	
6008	Credo Ventures, Index Ventures	Futurelytics	CEE & CIS	Central & Eastern Europe (CEE)	Czech Republic	CZE	CZ	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	13-Nov	2013	0.0	
6009	WAMEX Private Equity	KUA Mex Foods	Latin America	Central America	Mexico	MEX	MX	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	Growth	20	13-Nov	2013	0.0	
