original_name,country_code,mapped_name,mapped_bvdId,mapping_score
ComparaGuru,MX,COMPARA GURU MEXICO SA DE CV,MX*Z00050968,scoreA
MSwipe Technologies,IN,MSWIPE TECHNOLOGIES PRIVATE LIMITED,IN0007648939,scoreA
Retail Holding,MA,RETAIL HOLDING,MA62401-85,scoreA
iCare Benefits Cambodia,KH,"ICARE BENEFITS (CAMBODIA) CO., LTD",KH*Z00272841,scoreA
Akulaku,ID,"AKULAKU SILVRR INDONESIA, PT",ID121475P,scoreE
Deliver,RU,DELIVER,RU23464156N,scoreA
Darwinbox Digital Solutions,IN,DARWINBOX DIGITAL SOLUTIONS PRIVATE LIMITED,IN0015384214,scoreA
Boenhuier Information Technology (eDaili),CN,"HANGZHOU ZAILING LADDER INFORMATION TECHNOLOGY CO., LTD.",CN9387579204,scoreD
UrbanClap Technologies,IN,URBANCLAP TECHNOLOGIES INDIA PRIVATE LIMITED,IN0013934176,scoreB
Aisance,TH,AISANCE COMPANY LIMITED,TH0105554149897,scoreA
Kakao Mobility,KR,KAKAO MOBILITY CORP.,KR1311110481819,scoreA
Longjiang Yuanmao,CN,LONG JIANG YU CHI,CN9362294497,scoreD
Daekyung Oil and Transportation,KR,"DAEKYUNG OIL & TRANSPORATION CO.,LTD.",KR1845110013207,scoreA
Bling,BR,BLING MULTMARCAS LTDA - ME (Alias: BLING),BR19061494000142,scoreA
iProcure,KE,IPROCURE LIMITED,KECPR2012-82116,scoreA
Ziwutong (Beijing) Asset Management (Danke Apartment),CN,"BEIJING GUOTONG ASSET MANAGEMENT CO., LTD.",CN9360977734,scoreC
Trax,SG,TRAX - UXL PTE LTD,SG199704137D,scoreB
Tianjin Galaxy Cool Media (Yinhekuyu Media),CN,"TIANJIN GALAXY VALVE CO., LTD.",CN9360492141,scoreE
Hector Beverages,IN,HECTOR BEVERAGES PRIVATE LIMITED,IN0007962319,scoreA
Intellibrand,BR,,,
av.by,BY,AV-TRAST CHUP,BY190745268,scoreE
Aureso,SG,AURESO PTE. LTD.,SG201217019N,scoreA
WorkCapital,BR,WORKCAPITAL BS D (Alias: WORKCAPITAL),BR27301136000198,scoreA
Neumarket,CO,TEU MARKET S A S,CO9008233746,scoreE
Bestdealfinance (Rubique),IN,BESTDEAL FINADVISORS LLP,IN0017146864,scoreD
Zai Laboratory,CN,"ZAI LABORATORY PHARMACEUTICAL (SHANGHAI) CO., LTD.",CN9367161172,scoreB
Diverze Assets,JM,,,
Fazenda Alvorada,BR,FAZENDA ALVORADA AGRO PECUARIA LTDA (Alias: FAZENDA ALVORADA),BR15225366000136,scoreA
KarmaPulse,MX,,,
Formcept Technologies and Solutions,IN,FORMCEPT TECHNOLOGIES & SOLUTIONS PRIVATE LIMITED,IN0002916041,scoreA
Dook Book,CN,,,
Bliss Inns (V Resorts),IN,V.INNS AND RESORTS PRIVATE LIMITED,IN0010489329,scoreB
Dafengshou,CN,"DA FENG SHOES CO.,LTD",CN9379520582,scoreB
Clobotics,CN,,,
Shangdong Luoxin Pharmaceutical Group,CN,"GUANGDONG LUOXIN PHARMACEUTICAL CO.,LTD",CN9361793053,scoreB
Tizeti,NG,,,
SolarE,CL,SOLAR E SPA,CL76760999K,scoreA
OMG Digital,GH,OMG DIGITAL,GH*Z00273530,scoreA
R2G Polska,PL,R2G POLSKA SP. Z O.O.,PL141963798,scoreA
WhereIsMyTransport,ZA,WHEREISMYTRANSPORT CC,ZA200822739823,scoreA
