original_name|country_code|mapped_name|mapping_score
3 Oaks Liberia|LR||
31 Hui Yi|CN||
360 Health|CN|KANGXUN 360 HEALTH MANAGEMENT LIMITED|scoreC
3VJIA|CN||
4th Paradigm|CN||
51offer|CN|SHANGHAI HUIZI BUSINESS CONSULTANCY CO., LTD|scoreE
6B Engineering and Metal Works|MW||
8 Digits|TR|EPIGRAF TEKNOLOJI SAN TIC AS|scoreE
AAR|AFR|AAR CORP|scoreA
Abagold|ZA|ABAGOLD LTD|scoreA
Abra|SG|ABRA SERVICES PTE. LTD.|scoreB
Abril|BR|ABRIL COMUNICACOES S/A (Previous name: ABRIL SA)|scoreA
Abuloma Limited|NG||
ACCELERIX|CN||
Access Finance|MG||
Access Universe|CN||
ACL Teslim|TR||
Acorn|TD||
Acover|CD||
Acuvu|CN|JOHNSON & JOHNSON VISION CARE (SHANGHAI) LIMITED|scoreE
ACWA  Bokpoort|ZA|ACWA POWER BOKPOORT HOLDINGS (PTY) LTD|scoreB
Adaro|ID|ADARO ENERGY TBK., PT|scoreB
Adex Advertising Express Limited|ZM|EXPRESS WHOLESALERS LIMITED|scoreE
ADN|BD||
Adriatica Conect|ME||
Advantek|KH||
Aeroflex|IN|AEROFLEX INDUSTRIES LIMITED|scoreB
Afbeko|LR||
Africa Terminals Co|NG|AFRICA TERMINALS LTD|scoreB
africaJUICE|ET||
African Pride|SL||
AfricaTel (PT)|SSA|AFRICATEL GMBH & CO. KG|scoreB
Afrique Emergenc|CI|SOCIETE AFRIQUE EMERGENT SARL|scoreB
Afromeric|SL||
AGH labels|MX||
Agora Mall Ltd|NG||
Agrifos Kingpie Limited|ZM||
Agrow|PK|AGROW LIMITED|scoreA
Aguas Mexicans|MX|AGUAS INDUSTRIALES MEXICANAS SA|scoreB
AirGo|GR||
Airport Shoppes|PR|AIRPORT SHOPPES CORP|scoreA
AirTV|CN|AIRTV UNITED MEDIA & CULTURE CO., LTD.|scoreD
AIST-Russia|RU|AIREST RUSSIA OOO|scoreD
Aizant|IN|AIZANT PHARMACEUTICALS PRIVATE LIMITED|scoreB
Ajani|CD||
AKG Gazbeton|ECS|AKG GAZBETON ISLETMELERI SANAYI VE TICARET ANONIM SIRKETI|scoreC
Alazani 2|GE|ALAZANI 2|scoreA
Alcance Integral - GRS|GT||
Allied Catering|SSA|ALLIED CATERING LIMITED|scoreA
Alternativa|US|ALTERNATIVA LLC|scoreA
AltSchool|WLD|ALTSCHOOL|scoreA
Amak|EG|AMAK COMPANY FOR DRILLING AND OIL SERVICES (Alias: AMAK PETROLEUM)|scoreB
Amandla Water|ZA|AMANDLA WATER JETTING CC|scoreB
Ambar Industria|BR|AMBAR INDUSTRIA E COMERCIO LTDA - ME|scoreB
Amerimed|MX|AMERIMED PUERTO VALLARTA SA|scoreA
AMK MFI|KH||
Amoun Pharma|EG|AMOUN PHARMACEUTICALS COMPANY SAE (Alias: AMOUN)|scoreB
AMR|IN|AMR INDIA LIMITED|scoreB
Andela|NG|ANDELAJ LTD|scoreB
Aninwah|GH||
Anoud|PS|ANOUD GAMES INTERNATIONAL LTD|scoreD
Anti-cancer Guard|CN||
Appscotch|RU||
Aqua Tudaqul|UZ|AQUA VIP|scoreD
Aqualyng Holding|CN|AQUALYNG BEIJING LTD.|scoreD
Arabela|MX|ARABELA SA DE CV|scoreA
Arabia Weather|AE||
Archindra JustEa|IN||
AREFCO Acapulco|ZA||
Arinpa Homebuild|MX||
Arnur Credit|KZ|ARNUR TREID|scoreC
Arohan|IN|AROHAN CONSULTANTS PRIVATE LIMITED|scoreB
Arohan|IN|AROHAN CONSULTANTS PRIVATE LIMITED|scoreB
Arzum|TR|ARZUM SACLI SEKERCI ARZUM|scoreE
Ashoka Bhandara|IN|ASHOKA HIGHWAYS (BHANDARA) LIMITED|scoreB
Ashoka Concess|IN|ASHOKA CONCESSIONS LIMITED|scoreC
Asia Potash Grou|LA||
Asiasoft|TH|ASIASOFT CORPORATION PUBLIC COMPANY LIMITED|scoreB
Asirvad|IN|ASIRVAD MICROFINANCE PRIVATE LIMITED|scoreB
Assured Labor|MX||
Astrim|ZA|ASTRIM HOLDINGS (PTY) LTD|scoreB
Asusu Niger|NE||
AT ASSAD|TN||
ATA Hospitals|TR||
Atlas Renewable Energy|LAC|ATLAS RENEWABLE ENERGY|scoreA
Atopco|CN|TOPCO SCIENTIFIC (SHANGHAI) CO., LTD.|scoreE
Aurowell|IN||
Automative Solns|KE|MASTER CLASS AUTOMATIVE SOLUTIONS LIMITED|scoreE
Aver|SG|AVER ADVANCE PTE. LTD.|scoreB
AWI|CI||
Awind Holding|TW||
Axxend|CI||
Azura Power Holdings Ltd|NG|AZURA POWER HOLDINGS LTD|scoreA
BAC Ukraine|UA|DC UKRAINE TOV|scoreC
BACP Sofipe|BF||
Bac-Pol|PL|BAC-POL S.A.|scoreA
Balik|KZ|BALIKHOR|scoreE
Baltic Pork|RU|JOINT STOCK COMPANY BALTIC PLUS|scoreC
BAN|CN|YOU YUAN BAN GONG LIAN MENG ( TIAN JIN ) GU FEN YOU XIAN GONG SI|scoreE
Banco Promerica DR|DO|BANCO PANAMERICANO|scoreC
Bancofianza|PE||
Bank Evropeiskij|RU|EVROPEISKII BANK DANNYKH - MOSCOW (EUROPAISCHE DATENBANK - MOSKAU) (Alias: EVROPEISKII BANK DANNYKH - MOSCOW)|scoreB
Baru|CO|BARU LTDA|scoreA
BBI Plus|RS||
BCR Rwanda|RW|BCEG (RWANDA) LTD|scoreC
BD Agri Tech C|CN||
Be Fit|CA|EAT EXERCISE & BE FIT INC|scoreB
Beijing Biocytog|CN|BEIJING BIOMON CO.,LTD|scoreC
Belle|CN|BELLE LIMITED|scoreA
Beloor Bayir|IN|BELOORBAYIR BIOTECH LIMITED|scoreB
Belstar|IN|BELSTAR INVESTMENT AND FINANCE PRIVATE LIMITED|scoreE
