match_name|player_name|score
|3 Oaks Liberia|-1
|31 Hui Yi|-1
|360 Health|-1
|3VJIA|-1
|4th Paradigm|-1
|51offer|-1
CCCC THIRD HARBOR ENGINEERING CO., LTD.|6B Engineering and Metal Works|55
|8 Digits|-1
|AAR|-1
|Abagold|-1
|Abra|-1
|Abril|-1
ADANI WILMAR LIMITED|Abuloma Limited|69
|ACCELERIX|-1
KIT FINANCE TRADE ( LIMITED LIABILITY COMPANY )|Access Finance|67
INVERSIONES CMPC S.A.|Access Universe|57
TIM CELULAR S.A.|ACL Teslim|56
|Acorn|-1
|Acover|-1
|Acuvu|-1
|ACWA  Bokpoort|-1
CLARO S.A.|Adaro|57
LI & FUNG LIMITED|Adex Advertising Express Limited|64
|ADN|-1
ANDRE MAGGI PARTICIPACOES S/A|Adriatica Conect|53
|Advantek|-1
"PJSC ""AEROFLOT"""|Aeroflex|57
|Afbeko|-1
TIANYI TELECOM TERMINALS COMPANY LIMITED|Africa Terminals Co|64
|africaJUICE|-1
FCA POLAND S.A.|African Pride|52
|AfricaTel (PT)|-1
ALPIQ ENERGY SE|Afrique Emergenc|58
|Afromeric|-1
CLARO S.A.|AGH labels|53
AURORA TRADING CO LTD|Agora Mall Ltd|57
IRFAN AGRO FOODS PRIVATE LIMITED|Agrifos Kingpie Limited|73
AGROKOR D.D.|Agrow|57
COMUNICACION CELULAR S.A.|Aguas Mexicans|53
|AirGo|-1
CAPITAL AIRPORT HOLDING COMPANY|Airport Shoppes|64
|AirTV|-1
RUSSIAN ALUMINIUM|AIST-Russia|64
|Aizant|-1
|Ajani|-1
|AKG Gazbeton|-1
ALPHA BANK A.E.|Alazani 2|52
CENCOSUD INTERNACIONAL LTDA|Alcance Integral - GRS|51
XIAMEN AIRLINES|Allied Catering|53
|Alternativa|-1
OOCL UK BRANCH|AltSchool|52
|Amak|-1
BEIJING ENTERPRISES WATER GROUP LIMITED|Amandla Water|56
ERICO DO BRASIL COMERCIO E INDUSTRIA LTDA|Ambar Industria|75
|Amerimed|-1
|AMK MFI|-1
|Amoun Pharma|-1
|AMR|-1
|Andela|-1
|Aninwah|-1
|Anoud|-1
COPERSUCAR S.A.|Anti-cancer Guard|52
|Appscotch|-1
|Aqua Tudaqul|-1
HUAWEI INVESTMENT & HOLDING CO., LTD.|Aqualyng Holding|61
|Arabela|-1
|Arabia Weather|-1
TECH MAHINDRA LIMITED|Archindra JustEa|54
|AREFCO Acapulco|-1
ALIPAY.COM CO., LTD.|Arinpa Homebuild|55
LIMITED LIABILITY COMPANY CREDIT SUISSE SECURITIES (MOSCOW)|Arnur Credit|67
|Arohan|-1
|Arohan|-1
|Arzum|-1
|Ashoka Bhandara|-1
|Ashoka Concess|-1
BAILIAN GROUP CO., LTD.|Asia Potash Grou|56
AUSIRIS CO LTD|Asiasoft|55
|Asirvad|-1
|Assured Labor|-1
|Astrim|-1
|Asusu Niger|-1
|AT ASSAD|-1
|ATA Hospitals|-1
ALPIQ ENERGY SE|Atlas Renewable Energy|59
|Atopco|-1
|Aurowell|-1
FAW-VOLKSWAGEN AUTOMOTIVE CO., LTD.|Automative Solns|54
|Aver|-1
|AWI|-1
HUAWEI INVESTMENT & HOLDING CO., LTD.|Awind Holding|70
|Axxend|-1
CHAOWEI POWER HOLDINGS LIMITED|Azura Power Holdings Ltd|74
